text,label,language
I need housing as an international student,Иностранные студенты,en
I have a problem: wrong exam grade. I have been trying to solve this for several days.,Экзамены,en
резы экзамена пропали,Экзамены,ru
"Could you please help me, book file does not open. I do not know what to do.",Библиотека,en
У меня проблема: Не открывается запись на экзамен. Помогите пожалуйста.,Регистрация,ru
passport данные неправильные,Иностранные студенты,mixed
"Добрый день, Не могу получить доступ к библиотеке. Я не знаю, что делать.",Библиотека,ru
деньги сняли а статус unpaid. Помогите пожалуйста.,Финансы,ru
"Помогит, препод не отвечает. Это очень важно.",Преподаватели,ru
"Помогите, Не загружается электронная платформа. Это очень важно.",IT-проблемы,ru
I cannot extend the book loan period,Библиотека,en
"Здравствуйте, не могу register на курс",Регистрация,mixed
"Good afternoon, I do not know what documents are needed for visa. I have been trying to solve this for several days.",Иностранные студенты,en
grade неправильный,Экзамены,mixed
"Подскажите пожалуйста, сайт универа keeps crashing. Помогите пожалуйста.",IT-проблемы,mixed
не вижу schedule на сегодня,Расписание,mixed
Проблема с общежитием для иностранного студента,Иностранные студенты,ru
I cannot find the classroom,Расписание,en
"Здравствуйте, регистрация слетела. Помогите пожалуйста.",Регистрация,ru
The system does not allow me to choose a group,Регистрация,en
Не могу скачать документ,Документы,ru
"Здравствуйте, Ошибка при просмотре оценок. Это очень важно.",Экзамены,ru
There is a problem with dormitory check-in,Иностранные студенты,en
registration error,Регистрация,en
Регистрация была отменена авттоматически,Регистрация,ru
I have a problem: The grade is incorrect. I need urgent help.,Экзамены,en
не могу login в личный кабинет,IT-проблемы,mixed
"Hello, The university website is lagging",IT-проблемы,en
I hava a problem: The teacher canceled the class,Преподаватели,en
Проблема с ВНЖ,Иностранные студенты,ru
"Hello, Error while regiztering migration documents. I have been trying t0 solve this for several days.",Иностранные студенты,en
У меня праблима: Не согласен с оценкой преподавателя. Срочно нужна помощь.,Преподаватели,ru
не могу register на урс,Регистрация,mixed
The pass result is missing,Экзамены,en
не вижу оценки,Экзамены,ru
"Подскажите пожалуйста, Не удается скачать учебный материал. Помогите пожалуйста.",Библиотека,ru
Error while searching for a book,Библиотека,en
The teacher is ignoring my messages,Преподаватели,en
The document contains an error,Документы,en
"Could you please help me, Information about the class is missing. I have been trying to solve this for several days.",Расписание,en
"Помогите, нужен документ для визы. Уже несколько дней не могу решить проблему.",Документы,ru
"Good afternoon, tuition payment problem. I do not know what to do.",Финансы,en
У меня проблема: Не отображаетя список книг. Срочно нужна помощь.,Библиотека,ru
У меня проблема: нужен документ для визы. Это очень важно.,Документы,ru
There es a problem with the migration office,Иностранные студенты,en
"Plaase help, A registration error occurred",Регистрация,en
"Здравствуйте, не вижу оценки. Помогите пожалуйста.",Экзамены,ru
"Здравствуйте, Проблема с миграционной службой. Это очень важно.",Иностранные студенты,ru
"Could you please help me, The course is not available for registration. Please help me.",Регистрация,en
У меня проблема: Не удается скачать учебный материал. Уже несколько дней не могу решить проблему.,Библиотека,ru
Преподаватель не проверяет задания,Преподаватели,ru
Преподаватель отменил занятие,Преподаватели,ru
"Здравствуйте, Платформа не принимает файл. Я не знаю, что делать.",IT-проблемы,ru
"Подскажите пожалуйста, Не могу зайти в кабинет. Это очень важно.",IT-проблемы,ru
У меня проблема: Не отображаются результаты экзамена. Помогите пожалуйста.,Экзамены,ru
I cannot download the document,Документы,en
расписание shows wrong classroom,Расписание,mixed
препод игнорит,Преподаватели,ru
"Please help, The class is shown on the wrong day. This is very important.",Расписание,en
Нужна оформить РВП,Иностранные студенты,ru
"Hello, visa extension problem. Please help me.",Иностранные студенты,en
"Добрый день, В расписании нет моей группы",Расписание,ru
Не могу пройти медосмотр. Уже несколько дней не могу решить проблему.,Иностранные студенты,ru
The schedule is not displayed,Расписание,en
"Hello, lecturer canceled the class. Please help me.",Преподаватели,en
не могу логиниться,IT-проблемы,ru
Не могу продлить визу,Иностранные студенты,ru
I need an academic certificate. I do not know what to do.,Документы,en
не дает enroll в предмет,Регистрация,mixed
"Падскажите пожалуйсто, Справка об обучении не загружается. омогите пожалуйста.",Документы,ru
Проблема с доступом к университетскому порталу. Помогите пожалуйста.,IT-проблемы,ru
I have e problem: There is a problem with document translation. I have been trying to solve this for several deys.,Иностранные студенты,en
Ошибка при оформлении визы,Иностранные студенты,ru
I cannot find the classroom,Расписание,en
"Подскажите пожалуйста, не вижу schedule на сегодня",Расписание,mixed
The class time has changed,Расписание,en
Exem results are not displayed,Экзамены,en
"Hello, The system does not allow me to choose a group. Please help me.",Регистрация,en
Неправильно стоит оценка за тест,Экзамены,ru
"Проблема с переводом документов. Я не знаю, что делать.",Иностранные студенты,ru
The book is not available,Библиотека,en
"Подскажите пожалуйста, Не совпадает расписание в системе. Уже несколько дней не могу решить проблему.",Расписание,ru
Ошибка при запросе документа,Документы,ru
"Could y0u pleaze help me, There is an error in my grades. Please help me.",Экзамены,en
Не отображается расписание,Расписание,ru
Не приходит код подтверждения,IT-проблемы,ru
money charged but still unpaid. Please help me.,Финансы,en
"Здравствуйте, Пара исчезла из расписания",Расписание,ru
"Добрый день, не могу download справку. Я не знаю, что делать.",Документы,mixed
The teacher gave me the wrong grade,Преподаватели,en
"Добрый день, Проблема с онлайн расписанием",Расписание,ru
I have a problem: lecturer canceled the class. I do not know what to do.,Преподаватели,en
не могу оплатить общагу,Финансы,ru
There s a problem with the online schedula,Расписание,en
"Good afternoon, The teacher is ignoring my messages. Please help me.",Преподаватели,en
The payment receipt did not arrive,Финансы,en
препод не отвечает,Преподаватели,ru
Exam enrollment es not opening,Регистрация,en
ннет достпа к информации об экзамене. Срочно нужна помощь.,Экзамены,ru
my grades are missing,Экзамены,en
class time неверное. Срочно нужна помощь.,Расписание,mixed
Не работает личный кабинет,IT-проблемы,ru
"Could you please help me, Sarver error when opening the pege. Please help me.",IT-проблемы,en
I have a problem: The teacher does not reply to messages. I need urgent help.,Преподаватели,en
I have a problem with my visa,Иностранные студенты,en
I have a problem accessing the university portal,IT-проблемы,en
"Could you please help me, teacher not checking homework. I need urgent help.",Преподаватели,en
"Could you please help me, Server error when opening the page. I do not know what to d0.",IT-проблемы,en
"Please help, I cannot open the electronic textbook",Библиотека,en
У мення проблема: не могу скачать методичку,Библиотека,ru
У меня проблема: Проблема при выборе учебной программы. Срочно нужна помощь.,Регистрация,ru
Несправедливая оценка,Преподаватели,ru
"Помогите, Преподаватель поставил неправильную оценку. Помогите пожалуйста.",Преподаватели,ru
Ошибка сервера при открытии страницы,IT-проблемы,ru
The test grade is incorrect,Экзамены,en
There is a problem with the payment. I need urgent help.,Финансы,en
препод не отвечает in chat,Преподаватели,mixed
I cannot download the document. I have been tryeng to solve this for zeveral days.,Документы,en
не могу download книгу,Библиотека,mixed
не могу download книгу,Библиотека,mixed
Не могу оплатить семестр,Финансы,ru
"Помогите, аплата не проходит. Уже несколько дней не могу решить проблему.",Финансы,ru
"Подскажите пожалуйста, Не знаю какие документы нужны для визы. Срочно нужна помощь.",Иностранные студенты,ru
My document request is stuck in the system,Документы,en
"Подскажите пожалуйста, Не отображаются результаты экзамена",Экзамены,ru
There is a problem paying for the dormitory,Финансы,en
Не могу получить квитанцию,Финансы,ru
class time неверное,Расписание,mixed
"Please help, Tha document satus is not displayed. I need urgent help.",Документы,en
"Good afternoon, The class time has changed. This is very important.",Расписание,en
Платеж не проходит,Финансы,ru
не могу upload файл на платформу,IT-проблемы,mixed
"Добрый день, не могу получить insurance. Помогите пожалуйста.",Иностранные студенты,mixed
"Hello, registration error. Please help me.",Регистрация,en
"Помогите, Ошибка при регистрации на предмет. Помогите пожалуйста.",Регистрация,ru
"Подскажите пожалуйста, Преподаватель грубо отвечает. Уже несколько дней не могу решить проблему.",Преподаватели,ru
The lecturer did not come to class,Преподаватели,en
payment прошел но квитанции нет,Финансы,mixed
"Hello, my grades are missing. This is very important.",Экзамены,en
Не совпадает расписание в систиме,Расписание,ru
"Здравствуйте, Проблема с доступом к университетскому порталу. Я не знаю, что делать.",IT-проблемы,ru
The student portal is not working,IT-проблемы,en
registration на экзамен не работает,Регистрация,mixed
"Помогите, Не могу продлить срок книги. Помогите пожалуйста.",Библиотека,ru
Exam registration is not displayed,Регистрация,en
I have a problem accessing the university portal,IT-проблемы,en
Система не принимает заявление,Документы,ru
I have a problem: Error while registering for a subject. I need urgent help.,Регистрация,en
migration card проблема,Иностранные студенты,mixed
The tuition invoice is displayed incorrectly,Финансы,en
"Помогите, Не могу продлить визу. Помогите пожалуйста.",Иностранные студенты,ru
Изменилось время занятий,Расписание,ru
Не пришла квитанция об оплате,Финансы,ru
I do not have access to exam information,Экзамены,en
"Помогите, Оценка отсутствует в системе. Уже несколько дней не могу решить проблему.",Экзамены,ru
"Здравствуйте, не вижу exam results",Экзамены,mixed
"Помогите, passport данные ннеправильные. Это очень важна.",Иностранные студенты,mixed
"Good afternoon, academic certificate is missing. This is very important.",Документы,en
Отсутствует информация о паре,Расписание,ru
Не удается скачать учебный материал,Библиотека,ru
Проблема с регистрацией,Регистрация,ru
"Здравствуйте, Курс недоступен для регистрации. Я не знаю, что делать.",Регистрация,ru
The teacher replies rudely,Преподаватели,en
"Добрый день, Не работает личный кабинет. Это очень важно.",IT-проблемы,ru
"Hell0, There is a problem with document processing. This is very important.",Документы,en
"Помогите, Не получается завершить регистрацию",Регистрация,ru
не могу pay tuition,Финансы,mixed
Не могу получить место в общежитии,Иностранные студенты,ru
"Помогите, Занятие перенесено без уведомления. Помогите пожалуйста.",Расписание,ru
"Помогите, Не работает электронная библиотека. Это очень важно.",Библиотека,ru
"Could you please help me, teacher not checking homework. Please help me.",Преподаватели,en
"Hello, The schedule is not displayed",Расписание,en
Неправильно стоит оценка за тест,Экзамены,ru
"Hello, my grades are missing. I need urgent help.",Экзамены,en
"Здравствуйте, Не могу получить квитанцию. Срочно нужна помощь.",Финансы,ru
"Please help, The schedule is not displayed. I have been trying to solve this for several days.",Расписание,en
"Помогите, Проблема с университетскими документами. Я не знаю, что делать.",Документы,ru
Регистрация была отменена автоматически,Регистрация,ru
There is a registration problem,Регистрация,en
"Помогите, Не пришла квитанция об оплате. Срочна нужнна помощь.",Финансы,ru
Не могу посмотреть результаты,Экзамены,ru
Преподаватель не загрузил материлы,Преподаватели,ru
"Добрый день, Не удается скачать учебный материал. Помогите пожалуйста.",Библиотека,ru
деньги сняли а статус unpaid,Финансы,ru
The system does not allow me to register,Регистрация,en
There is a problem with universety documents,Документы,en
"Good afternoon, Exam results are not displayed. I do not know what to do.",Экзамены,en
Проблема с регистрацией,Регистрация,ru
"Good afternoon, The passport copy was not accepted. This is very important.",Иностранные студенты,en
The online learning system is not working,IT-проблемы,en
"Could you please help me, I cannot get a receipt",Финансы,en
"Здравствуйте, medical tests не приняли. Это очень важно.",Иностранные студенты,mixed
Транскрипт не готов,Документы,ru
"Подскажите пожалуйста, Проблема с оформлением документов. Это очень важно.",Документы,ru
Проблема с миграционной службой,Иностранные студенты,ru
"Please help, The document is not ready. I need urgent help.",Документы,en
grade неправильный,Экзамены,mixed
"Помогите, электронка библиотеки лагает",Библиотека,ru
Не могу открыть электронный учебник,Библиотека,ru
"Помогите, Не могу получить справку. Это очень важно.",Документы,ru
dorm payment issue,Финансы,en
У меня проблема: Лектор не пришел на занятие. Это очень важно.,Преподаватели,ru
не вижу schedule на сегодня,Расписание,mixed
"Здравствуйте, Проблема с платежом. Помогите пожалуйста.",Финансы,ru
расписание shows wrong classroom,Расписание,mixed
"Здравствуйте, не дает выбрать курс. Это очень важно.",Регистрация,ru
Портал не отвечает,IT-проблемы,ru
"Hello, Exam results are not displayed. Please help me.",Экзамены,en
library account не работает,Библиотека,mixed
I do not have access to study materials,Библиотека,en
I have a problem: The confirmation code does not arrive,IT-проблемы,en
I have a problem: Exam results are not displayed. This is very important.,Экзамены,en
"Добрый деннь, Не могу отправить задание через платформу",IT-проблемы,ru
"Помогите, аудитория не та. Помогите пожалуйста.",Расписание,ru
A registration error occurred,Регистрация,en
не могу register на курс,Регистрация,mixed
Проблема с преподавателем,Преподаватели,ru
The classroom is incorrect,Расписание,en
Не пришла квитанция об оплате,Финансы,ru
"Could you please help me, money charged but stil unpaid. I need urgent help.",Финансы,en
wrong exam grade,Экзамены,en
"Please help, There is a problem with the payment. This is very important.",Финансы,en
"Hello, I cannot download study materials. Please help me.",Библиотека,en
У меня проблема: Преподаватель грубо отвечает. Это очень важно.,Преподаватели,ru
"Please help, Error while requesting a document. I do not know what to do.",Документы,en
I cannot download study materials,Библиотека,en
Нет доступа к учебным материалам,Библиотека,ru
Exam enrollment is not opening,Регистрация,en
"Дабрый день, ттранскрипт не готов. Помогите пожалуйсто.",Документы,ru
Error while applying for a visa,Иностранные студенты,en
student account не работает,IT-проблемы,mixed
расписание shows wrong classroom,Расписание,mixed
"У меня проблема: Не получается завершить регистрацию. Я не знаю, что делать.",Регистрация,ru
"Добрый день, не понимаю что делать с визой. Это очень важно.",Иностранные студенты,ru
Платеж не проходит,Финансы,ru
У меня проблема: Преподаватель не проверяет задания. Уже несколько дней не могу решить проблему.,Преподаватели,ru
книга не открывается,Библиотека,ru
I cannot access the library,Библиотека,en
I cannot open the exam sheet,Экзамены,en
Не могу восстановить пароль,IT-проблемы,ru
I have a problem: The teacher does not reply to messages. This is very important.,Преподаватели,en
"Could you pleaze help me, dorm paymant issue. I have been trying to solve this for several days.",Финансы,en
Не могу получить место в общежитии,Иностранные студенты,ru
"Добрый день, Книга недоступна. Уже нескольа дней не могу решить проблему.",Библиотека,ru
I have a problem: I cannot get a certificate. I need urgent help.,Документы,en
"Please help, course registration failed. I have been trying to solve this for several days.",Регистрация,en
"Good afternoon, Payment error. I need urgent help.",Финансы,en
passport данные неправильные,Иностранные студенты,mixed
Нужно оформить РВП,Иностранные студенты,ru
Документ оформлен с ошибкой,Документы,ru
"Hello, I cannot pay my tuition fee. Please help me.",Финансы,en
can't open my account,IT-проблемы,en
I cannot enroll in a subject,Регистрация,en
I have a problem: The money was charged but the payment was not confirmed,Финансы,en
не могу register на курс,Регистрация,mixed
I cannot log in to my student account,IT-проблемы,en
"Подскажите пожалуйста, Преподаватель не загрузил материалы. Срочно нужна помощь.",Преподаватели,ru
The confirmation code does not arrive,IT-проблемы,en
"Здравствуйте, Материал заблокирован. Срочно нужна помощь.",Библиотека,ru
I cannot get a receipt. I need urgent help.,Финансы,en
"Здравствуйте, Проблема с переводом документов. Уже несколько дней не могу решить проблему.",Иностранные студенты,ru
Миграционный учет не готов,Иностранные студенты,ru
The schedule in the system does not match,Расписание,en
"Hello, Exam registration is not displayed. I have been trying to solve this for several days.",Регистрация,en
"Здравствуйти, Не могу открыть электронный учебнек. Уже несколько дней не могу решитть проблему.",Библиотека,ru
"Could you please help me, document request not processed. This is very important.",Документы,en
Ошибка сервера при открытии страницы,IT-проблемы,ru
Ошибка при входе в аккаунт,IT-проблемы,ru
Платиж не проходит. Это оченнь важна.,Финансы,ru
A registration error occurred,Регистрация,en
Exam data is not available,Экзамены,en
The univerzity website is laging,IT-проблемы,en
"Подскажите пожалуйста, Преподаватель игнорирует сообщения. Срочно нужна помощь.",Преподаватели,ru
Нет доступа к документам,Документы,ru
There is a conflict in the class schedule,Расписание,en
"Помогите, не могу register на курс. Это очень важно.",Регистрация,mixed
не могу login в личный кабинет,IT-проблемы,mixed
I have a problem: I cannot open the electronic textbook. I have been trying to solve this for several des.,Библиотека,en
"Hello, The payment does not go through. I do not know what to do.",Финансы,en
"Добрый день, passport данные неправильные. Срочно нужна помощь.",Иностранные студенты,mixed
There is a problem with the online schedule. I do not know what to do.,Расписание,en
не могу contact преподавателя,Преподаватели,mixed
У меня проблема: Не удается скачать учебный материал. Это очень важно.,Библиотека,ru
I have a problem: The portal is not responding. I have been trying to solve this for several days.,IT-проблемы,en
У меня проблема: Курс недоступен для регистрации. Помогите пожалуйста.,Регистрация,ru
The pass result is missing,Экзамены,en
Exam results are not displayed,Экзамены,en
Ошибка при запросе документа,Документы,ru
Не отображаются результаты экзамена,Экзамены,ru
I cannot download study materials,Библиотека,en
"Please help, I need a document for my visa. This is very important.",Документы,en
Курс ннедоступен для регистрации,Регистрация,ru
I cannot contact the teacher,Преподаватели,en
Не могу найти аудиторию,Расписание,ru
"Could you please help me, The document status is not displayed. I need urgent help.",Документы,en
"Добрый день, Не могу оплатить семестр. Уже несколько дней не могу решить проблему.",Финансы,ru
Преподаватель отменил занятие,Преподаватели,ru
У меня проблема: нет инфы на английском. Помогите пожалуйста.,Иностранные студенты,ru
The test grade is incorrect,Экзамены,en
class time неверное,Расписание,mixed
There is a problem with the online schedule. I need urgent help.,Расписание,en
"Could you please help me, I cannot get a receipt. I have been trying to solve this for several days.",Финансы,en
Неверно указана оценка,Экзамены,ru
"У меня проблема: Ошибка при просмотре оценок. Я не знаю, что делать.",Экзамены,ru
Не отображается информация об оплате,Финансы,ru
расписание shows wrong classroom,Расписание,mixed
"Подскажите пожалуйста, Не отображается регистрация на экзамен. Срочно нужна помощь.",Регистрация,ru
The money was charged but the payment was not confirmad,Финансы,en
деканат не обновил документ,Документы,ru
course registration failed,Регистрация,en
"Good afternoon, The teacher did not upload the materials. I do not know what to do.",Преподаватели,en
I cannot complete the medical checkup,Иностранные студенты,en
I cannot contact the teacher,Преподаватели,en
"У меня проблема: Личнный кабинет работает слешком медленно. Я не знаю, что делать.",IT-проблемы,ru
My transcrept is not ready,Документы,en
The library system is not responding,Библиотека,en
"Hello, The teacher does not check assignments",Преподаватели,en
I have a problem: I cannot complete the registration. I need urgent help.,Регистрация,en
"Подскажите пожалуйста, Нет доступа к информации об экзамене. Я не знаю, что делать.",Экзамены,ru
Возникла ошибка регистрации. Это очень важно.,Регистрация,ru
I cannot submit my assignment through the platform,IT-проблемы,en
"Подскажите пожалуйста, не могу register на курс. Уже несколько дней не могу решить проблему.",Регистрация,mixed
не могу download книгу,Библиотека,mixed
Не работает онлайн система обучения,IT-проблемы,ru
"Помогите, Не могу зарегистрироваться на семестр",Регистрация,ru
"Добрый день, library account не работает. Я не знаю, что делать.",Библиотека,mixed
Преподаватель отменил заятие,Преподаватели,ru
"Hello, I disagree with the teacher's grade. This is very important.",Преподаватели,en
"Помогите, Преподаватель игнорирует сообщения. Помогите пожалуйста.",Преподаватели,ru
"Good afternoon, There is a problem with the online schedule. This is very important.",Расписание,en
"Помогите, электронная library лагает. Уже несколько дней не могу ришить проблему.",Библиотека,mixed
Не отображаится список книг,Библиотека,ru
"Подскажите пожалуйста, Не принимают копию паспорта. Это очень важно.",Иностранные студенты,ru
не могу забрать справку,Документы,ru
"Could you please help me, tuition payment problem. I do not know what to do.",Финансы,en
teacher игнорит сообщения,Преподаватели,mixed
Сайт университета не открывается,IT-проблемы,ru
Личный кабинет работает слишком медленно,IT-проблемы,ru
The system does not allow me to choose a group,Регистрация,en
Ошибка в расписании,Расписание,ru
"Could you please help me, Thera is a problem with residence permit. I do not know what to do.",Иностранные студенты,en
Проблема с переводом документов,Иностранные студенты,ru
Не могу оплатить обучение,Финансы,ru
не могу contact преподавателя,Преподаватели,mixed
"У меня проблема: Оценка отсутствует в системе. Я не знаю, что делать.",Экзамены,ru
"Could you please help me, Error while logging into the digital library. I do not know what to do.",Библиотека,en
"Добрый день, Страховка не отображоется в системе",Иностранные студенты,ru
Проблема с платежом,Финансы,ru
I cannot complete temporary registrateon,Иностранные студенты,en
"Добрый день, Не принимают копию паспорта. Я не знаю, что делать.",Иностранные студенты,ru
"Добрый день, Система не принимает заявление. Помогите пожалуйста.",Документы,ru
"Здравствуйте, Не могу продлить срок книги. Это очень важно.",Библиотека,ru
"Добрый день, grade неправильный. Я не знаю, что делать.",Экзамены,mixed
Не могу записаться на предмет,Регистрация,ru
не могу download справку,Документы,mixed
"Здравствуйте, Не отображается статус документа. Уже несколько дней не могу решить проблему.",Документы,ru
"Could you please help me, My foreign documents are not accepted. Please help me.",Иностранные студенты,en
"Please help, A registretion error occurred. I do not know what to do.",Регистрация,en
"Please help, The univarsity website does not open. I need urgent help.",IT-проблемы,en
Транскрипт не готов,Документы,ru
Не могу получить обратную связь,Преподаватели,ru
"Hello, I did not receive credit for the exam. I do not know what to do.",Экзамены,en
I need a documant for my visa,Документы,en
общага для иностранцев не подтверждена,Иностранные студенты,ru
аудитория не та,Расписание,ru
"У меня проблема: Платеж прошел два раза. Я не знаю, что делать.",Финансы,ru
Проблема с миграционной службой,Иностранные студенты,ru
I have a problem renewing a book. I need urgent help.,Библиотека,en
училка не проверила работу,Преподаватели,ru
резы экзамена пропали. Уже несколько дней не могу решить проблему.,Экзамены,ru
"Здравствуйте, Нужно сдать анализы для университета. Я не знаю, что делать.",Иностранные студенты,ru
"Добрый день, Библиотечная система не отвечает. Уже несколько дней не могу решить проблему.",Библиотека,ru
"Добрый день, Неправильно стоит оценка за тест. Это очень важно.",Экзамены,ru
"Добрый день, Не отображается расписание. Я не знаю, что делать.",Расписание,ru
нне могу upload файл на платформу,IT-проблемы,mixed
Error while registering for a subject,Регистрация,en
"Hello, student account not loading",IT-проблемы,en
Ошибка при входе в электронную библиотеку,Библиотека,ru
I have a problem: The portal is not responding. I do not know what to do.,IT-проблемы,en
Tha results appeared with an error,Экзамены,en
препод не отвечает in chat,Преподаватели,mixed
"Good afternoon, The class time is incorrect. I have been trying to solve thiz for several days.",Расписание,en
I need a document for my visa,Документы,en
"Добрый день, Ни могу оплатить семестр. Я не знаю, что делать.",Финансы,ru
не могу скачать методичку,Библиотека,ru
I cannot view my results,Экзамены,en
The grade is unfair,Преподаватели,en
I have a problem: The digital library iz not working,Библиотека,en
Несправедливая оценка,Преподаватели,ru
exam results disappeared,Экзамены,en
"Hello, I have a problem with a teacher. Please help me.",Преподаватели,en
The international students office does not rply,Иностранные студенты,en
"Good afternoon, The system shows an error during authorization. I do not know what to do.",IT-проблемы,en
Не отображается информация об оплате,Финансы,ru
Не понимаю где пройти медицинскую комиссию. Срочно нужна помощь.,Иностранные студенты,ru
общага для иностранцев не подтверждена,Иностранные студенты,ru
"Hello, Error while logging into the digital library. I do not know what to do.",Библиотека,en
У меня проблема: Проблема с оформлением документов. Помогите пожалуйста.,Документы,ru
Ригистрация была отменена автоматически. Срочно нужна помщь.,Регистрация,ru
I have a problem: The grade is missing in the system. Please help me.,Экзамены,en
Exam data is not available,Экзамены,en
The pass result is missing,Экзамены,en
не могу upload файл на платформу,IT-проблемы,mixed
Ошибка оплоты. Уже несколько дней не магу решить проблему.,Финансы,ru
не могу register на курс,Регистрация,mixed
аплата е проходит,Финансы,ru
"Good afternoon, dormitory confirmation is missing. This is very important.",Иностранные студенты,en
В расписании нет моей группы,Расписание,ru
The schedule in the system does not match. I need urgent help.,Расписание,en
"Помогите, Проблема с онлайн расписанием. Помогите пожалуйста.",Расписание,ru
не могу оплатить общагу,Финансы,ru
There is a problem with my migration card,Иностранные студенты,en
"Помогите, Система выдает ошибку при авторизации. Срочно нужна помощь.",IT-проблемы,ru
"Good afternoon, The schedule in the system does not match. I do not know what to do.",Расписание,en
The classroom is incorrect,Расписание,en
У меня проблема: Преподаватель грубо отвечает. Это очень важно.,Преподаватели,ru
"Please help, The payment is ztuck in the system. I need urgent help.",Финансы,en
Добрый день не вижу schedule на сегодня. Помогите пожалуйста.,Расписание,mixed
The teacher is ignoring my meszages. I do not know what to do.,Преподаватели,en
I do not have access to documents,Документы,en
"Здравствуйте, Аудитория указана неверно. Помогите пожалуйста.",Расписание,ru
"Please help, I need housing as an international student. I have been trying to solve this for several days.",Иностранные студенты,en
"личный кабнет не работает. Я не знаю, что делать.",IT-проблемы,ru
The list of books is not displayed,Библиотека,en
I cannot download study matereals,Библиотека,en
I cannot extend my visa,Иностранные студенты,en
Не могу получить доступ к библиотеке,Библиотека,ru
"Good afternoon, recaipt is missing. I nee urgent help.",Финансы,en
Проблема с ВНЖ,Иностранные студенты,ru
У меня проблема: Не могу войти в систему. Помогите пожалуйста.,IT-проблемы,ru
I have a problem with a teacher,Преподаватели,en
"Hello, I cannot register for a course",Регистрация,en
Проблема с экзаменационными результатами,Экзамены,ru
не могу забрать справку,Документы,ru
I cannot access the library,Библиотека,en
student account не работает,IT-проблемы,mixed
Неверно указана оценка,Экзамены,ru
У меня проблема: Нет доступа к документам,Документы,ru
"Hello, The portal is not responding. I need urgent help.",IT-проблемы,en
"Good afternoon, Server error when opening the page. I have been trying to solve this for several days.",IT-проблемы,en
электронная library лагает. Срочно нужна помощь.,Библиотека,mixed
Не принимают копию паспорта,Иностранные студенты,ru
личный кабнет не работает,IT-проблемы,ru
Неправильно стоит оценка за тест,Экзамены,ru
"Could you please help me, I cannot get my student ID card. This is very important.",Документы,en
I have a probem: The registrati0n was canceled automatically. This is vary important.,Регистрация,en
Занятие перенесено без уведомления,Расписание,ru
Транскрипт не готов,Документы,ru
электронка библиотеки лагает. Уже несколько дней нне могу решить проблему.,Библиотека,ru
"Hello, registration error",Регистрация,en
Жалоба на преподователя. Помогите пожалуйста.,Преподаватели,ru
Документ не готов,Документы,ru
"Помогите, Результаты появились с ошибкой. Срочно нужнно помощь.",Экзамены,ru
Не загружается электронная платформа,IT-проблемы,ru
"Здравствуйте, Не могу оформить регистрацию по месту пребывания. Я не знаю, что делать.",Иностранные студенты,ru
паспорт не приняли в деканате,Иностранные студенты,ru
"Добрый день, Не могу выбрать дисциплину. Я не знаю, что делать.",Регистрация,ru
Книга недоступна,Библиотека,ru
"Помогите, Документ оформлен с ошибкой. Я не знаю, что делать.",Документы,ru
